name;start;period;type
Quote.rbc.ru (Комментарии аналитиков);;ежедневно;fed int
Авиапанорама (aviapanorama.ru);15.12.1996;периодически;fed int
Авиатранспортное обозрение (ato.ru);15.09.1998;ежемесячно;fed int
Авторевю (autoreview.ru);20.08.2002;2 в месяц;fed int
Военно-промышленный курьер (vpk-news.ru);19.08.2003;еженедельно;fed int
Все о мире строительства;;раз в 2 месяца;fed int
Газета Завтра;;периодически;fed int
Гудок (gudok.ru);04.02.1992;ежедневно;fed int
Дайджест-финансы;17.01.2002;ежемесячно;fed int
Ежедневная деловая газета РБК (rbc.ru);;Значение не задано;fed int
За рулем (zr.ru);15.01.1997;непрерывно;fed int
Комсомольская правда (msk.kp.ru);06.01.2005;ежедневно;fed int
Мотор (motor.ru);;Значение не задано;fed int
Недвижимость и цены (realty.dmir.ru);;еженедельно;fed int
РБК;;ежедневно;fed int
РБК. Бизнес-стиль (style.rbc.ru);;ежедневно;fed int
РБК. Деньги (money.rbc.ru);;периодически;fed int
РБК. Недвижимость (realty.rbc.ru);06.07.2004;непрерывно;fed int
РБК. Спорт (sport.rbc.ru);;ежедневно;fed int
РБК+ (rbcplus.ru);;периодически;fed int
Столичный стиль (capitalstyle.ru);;периодически;fed int
Церковный вестник;;Значение не задано;fed int
Sport.rbc.ru;;Значение не задано;fed int
РБК. Исследования рынков (marketing.rbc.ru);;ежедневно;fed int
Телеканал РБК (tv.rbc.ru);;непрерывно;fed tv
Free Тайм (Санкт-Петербург);15.11.2004;ежемесячно;region
Human (Саратов);;периодически;region
IT-News. Новости высоких технологий в Чувашии (PDF-версия);;периодически;region
Metro Воронеж (PDF-версия);;периодически;region
Metro Екатеринбург (PDF-версия);;периодически;region
Metro Казань (PDF-версия);;периодически;region
Metro Москва (PDF-версия);14.03.2006;4 в неделю;region
Metro Новосибирск (PDF-версия);;периодически;region
Metro Омск (PDF-версия);;периодически;region
Metro Санкт-Петербург;01.08.2000;5 в неделю;region
Metro Санкт-Петербург (PDF-версия);02.09.2004;5 в неделю;region
Metro Челябинск (PDF-версия);;периодически;region
National Business (Волгоград);;периодически;region
NewsKo (Пермь);20.01.1998;еженедельно;region
PRO - Отрадное (Отрадное);;периодически;region
Status (Люди. Деньги. Власть) (Новосибирск);;периодически;region
VIP Курск;;раз в 2 месяца;region
Vladivostok News;;Значение не задано;region
World Club (Саратов);;периодически;region
Авангард (Козулька, Красноярский край);;еженедельно;region
Авангард (Обливская, Ростовская область) (PDF-версия);;еженедельно;region
Автопрайс (Тюмень);;периодически;region
Автопремьера (Набережные Челны);;Значение не задано;region
Аграрный вестник Урала (Екатеринбург) (PDF-версия);;ежемесячно;region
АиФ - Адыгея (PDF-версия);;еженедельно;region
АиФ - Алтай (Барнаул);;периодически;region
АиФ - Алтай (Барнаул) (PDF-версия);;еженедельно;region
АиФ - Архангельск (PDF-версия);;еженедельно;region
АиФ - Астрахань (PDF-версия);;еженедельно;region
АиФ - Башкортостан (PDF-версия);02.11.2005;еженедельно;region
АиФ - Белгород;22.12.2004;еженедельно;region
АиФ - Белгород (PDF-версия);;еженедельно;region
АиФ - Брянск (PDF-версия);;еженедельно;region
АиФ - Бурятия (Улан-Удэ) (PDF-версия);;еженедельно;region
АиФ - Владимир (PDF-версия);;еженедельно;region
АиФ - Вологда (PDF-версия);;еженедельно;region
АиФ - Вятка (Киров) (PDF-версия);;еженедельно;region
АиФ - Дальинформ (Хабаровск);;еженедельно;region
АиФ - Дальинформ (Хабаровск) (PDF-версия);;еженедельно;region
АиФ - Дальний Восток (Благовещенск) (PDF-версия);;еженедельно;region
АиФ - Дон (Ростов-на-Дону);23.07.1997;еженедельно;region
АиФ - Дон (Ростов-на-Дону) (PDF-версия);11.04.2005;еженедельно;region
АиФ - Забайкалье (Чита) (PDF-версия);;еженедельно;region
АиФ - Западная Сибирь (Тюмень) (PDF-версия);;еженедельно;region
АиФ - Иваново (PDF-версия);;еженедельно;region
АиФ - Иркутск (PDF-версия);;еженедельно;region
АиФ - Казань (PDF-версия);;еженедельно;region
АиФ - Калининград;05.03.2003;еженедельно;region
АиФ - Калининград (PDF-версия);;еженедельно;region
АиФ - Калуга (PDF-версия);;Значение не задано;region
АиФ - Камчатка (Петропавловск-Камчатский) (PDF-версия);;еженедельно;region
АиФ - Карелия (Петрозаводск) (PDF-версия);;еженедельно;region
АиФ - Коми (Сыктывкар) (PDF-версия);;еженедельно;region
АиФ - Кострома;22.05.2004;еженедельно;region
АиФ - Кострома (PDF-версия);;еженедельно;region
АиФ - Красноярск;29.10.2003;еженедельно;region
АиФ - Красноярск (PDF-версия);;еженедельно;region
АиФ - Крым (Симферополь) (PDF-версия);;еженедельно;region
АиФ - Кузбасс (Кемерово) (PDF-версия);;еженедельно;region
АиФ - Курган (PDF-версия);;еженедельно;region
АиФ - Курск (PDF-версия);;еженедельно;region
АиФ - Липецк (PDF-версия);;еженедельно;region
АиФ - Магадан (PDF-версия);;еженедельно;region
АиФ - Марий Эл (PDF-версия);;еженедельно;region
АиФ - Мордовия (PDF-версия);;еженедельно;region
АиФ - Мурманск (PDF-версия);;еженедельно;region
АиФ - Нижнее Поволжье (Волгоград) (PDF-версия);;еженедельно;region
АиФ - Омск;07.04.2004;еженедельно;region
АиФ - Омск (PDF-версия);16.04.2008;Значение не задано;region
АиФ - Орел (PDF-версия);;еженедельно;region
АиФ - Оренбург (PDF-версия);;еженедельно;region
АиФ - Пенза (PDF-версия);;еженедельно;region
АиФ - Петербург;21.06.2000;еженедельно;region
АиФ - Петербург (PDF-версия);;еженедельно;region
АиФ - Прикамье (Пермь);09.01.2003;еженедельно;region
АиФ - Прикамье (Пермь) (PDF-версия);;еженедельно;region
АиФ - Приморье (Владивосток);;Значение не задано;region
АиФ - Приморье (Владивосток) (PDF-версия);;еженедельно;region
АиФ - Псков (PDF-версия);;еженедельно;region
АиФ - Рязань (PDF-версия);;еженедельно;region
АиФ - Самара;30.10.2002;еженедельно;region
АиФ - Самара (PDF-версия);;еженедельно;region
АиФ - Саратов (PDF-версия);;еженедельно;region
АиФ - Сахалин-Курилы (Южно-Сахалинск) (PDF-версия);;еженедельно;region
АиФ - Северный Кавказ (Ставрополь);12.02.2003;еженедельно;region
АиФ - Северный Кавказ (Ставрополь) (PDF-версия);;еженедельно;region
АиФ - Смоленск (PDF-версия);;еженедельно;region
АиФ - Тамбов;13.08.2002;еженедельно;region
АиФ - Тамбов (PDF-версия);;еженедельно;region
АиФ - Тверь (PDF-версия);;еженедельно;region
АИФ - Томск;23.09.2004;еженедельно;region
АиФ - Томск (PDF-версия);;еженедельно;region
АиФ - Тула (PDF-версия);;еженедельно;region
АиФ - Удмуртия (PDF-версия);;еженедельно;region
АиФ - Ульяновск (PDF-версия);;еженедельно;region
АиФ - Урал (Екатеринбург) (PDF-версия);;еженедельно;region
АиФ - Челябинск (PDF-версия);;еженедельно;region
АиФ - Черноземье (Воронеж) (PDF-версия);;еженедельно;region
АиФ - Чувашия (Чебоксары);;еженедельно;region
АиФ - Чувашия (Чебоксары) (PDF-версия);;еженедельно;region
АиФ - Юг (Краснодар) (PDF-версия);;еженедельно;region
АиФ - Югра (Ханты-Мансийск) (PDF-версия);;еженедельно;region
АиФ - Ярославль (PDF-версия);;еженедельно;region
АиФ на Оби (Новосибирск) (PDF-версия);;еженедельно;region
АиФ на Севере (Якутск) (PDF-версия);;еженедельно;region
Академия Энергетики (Санкт-Петербург);;периодически;region
Александро-Невские вести (Александро-Невский, Рязанская область) (PDF-версия);;еженедельно;region
Алеутская звезда (с. Никольское, Камчатский край) (PDF-версия);;еженедельно;region
АЛИТинформ (Санкт-Петербург) (PDF-версия);;периодически;region
Амурская правда (Благовещенск);01.10.2004;5 в неделю;region
Амурский меридиан (Хабаровск);05.01.2005;еженедельно;region
Арбитражные споры (PDF-версия);01.01.2001;раз в квартал;region
Аргументы неделi Енисей (Красноярск) (PDF-версия);;еженедельно;region
Аргументы неделi Приморье (Владивосток) (PDF-версия);;еженедельно;region
Аргументы неделi Волга (Нижний Новгород) (PDF-версия);;периодически;region
Аргументы неделi Вятка (Киров) (PDF-версия);;периодически;region
Аргументы неделi Нижнее Поволжье (Волгоград) (PDF-версия);;периодически;region
Аргументы неделi Прикамье (Пермь) (PDF-версия);;периодически;region
Аргументы неделi Санкт-Петербург;;еженедельно;region
Аргументы неделi Санкт-Петербург (PDF-версия);;периодически;region
Аргументы неделi Сибирь (Новосибирск) (PDF-версия);;периодически;region
Аргументы неделi Татарстан (Казань) (PDF-версия);;периодически;region
Аргун;;еженедельно;region
Армизонский вестник (Тюменская область. Армизонский район);;периодически;region
Арсеньевские вести (Владивосток);;еженедельно;region
Архангельск;01.04.1999;ежедневно;region
Архангельск - город воинской славы (PDF-версия);;2 в неделю;region
Архангельск (PDF-версия);;Значение не задано;region
Астраханская правда;14.08.2002;еженедельно;region
Астраханские ведомости;10.12.1992;еженедельно;region
Байкальские зори (PDF-версия);;еженедельно;region
Балаковские вести (PDF-версия);;периодически;region
Балтийский луч (Ломоносов);;периодически;region
Балтийский луч (Ломоносов) (PDF-версия);;периодически;region
Белгородская правда (Белгород);15.12.2000;ежедневно;region
Белгородская правда (Белгород) (PDF-версия);19.03.2005;ежедневно;region
Белгородские известия;06.01.2000;3 в неделю;region
Белгородские известия (PDF-версия);19.03.2005;ежедневно;region
Берег (Воронеж);01.12.2000;еженедельно;region
Березниковский рабочий (Пермский край) (PDF-версия) (brsmi.ru);;периодически;region
Бизнес Класс (Киров);;ежемесячно;region
Бизнес Навигатор (Владимир) (PDF-версия);;еженедельно;region
Бизнес-вестник (Челябинск) (PDF-версия);;раз в 2 месяца;region
Бизнес-журнал (Омск) (PDF-версия);;ежемесячно;region
Бизнес-класс. Архангельск;24.06.2002;еженедельно;region
Биржа (Нижний Новгород);13.01.2000;еженедельно;region
Биробиджанер Штерн (Биробиджан);;Значение не задано;region
Биробиджанская звезда (Биробиджан);;Значение не задано;region
Благовест (Самара);07.01.2005;еженедельно;region
Богатей (Саратов);13.01.2005;еженедельно;region
Богородицкие вести (Тульская область) (PDF-версия) (bogoroditskievesti.ru);;периодически;region
Богородские вести (Ногинск);10.11.2001;3 в неделю;region
Боевая вахта (Владивосток);;еженедельно;region
Боевой путь (Александровск. Пермский край);09.01.2003;еженедельно;region
Боровские известия (Боровск) (PDF-версия);;2 в неделю;region
Бородинский вестник (Красноярский край);;еженедельно;region
Бронницкие новости (Бронницы) (PDF-версия);;периодически;region
Брянская правда;16.08.2002;еженедельно;region
Брянская учительская газета;02.12.1993;еженедельно;region
Брянская учительская газета (PDF версия);02.12.2005;еженедельно;region
Брянский рабочий;02.12.1993;2 в неделю;region
Брянский рабочий (PDF-версия);02.12.2005;2 в неделю;region
Бумажник (Новодвинск);31.08.2002;еженедельно;region
В добрые руки (Петропавловск-Камчатский) (PDF-версия);;еженедельно;region
Важский край (Шенкурск);03.01.2003;еженедельно;region
Валуйская звезда (PDF-версия);;периодически;region
Ваш Ореол (Омск);05.03.2003;еженедельно;region
Ваш Ореол (Омск) (PDF-версия);29.03.2006;еженедельно;region
Верный путь (Правдинск);04.02.2004;3 в неделю;region
Версия в Питере (Санкт-Петербург);10.09.2001;еженедельно;region
Вести (Петропавловск-Камчатский) (kamvesti.com);;еженедельно;region
Вести (Санкт-Петербург);03.06.2000;еженедельно;region
Вести Красногорья (Красногорск) (PDF-версия);;ежемесячно;region
Вести Привопья (Ярцево. Смоленская область) (PDF-версия);;периодически;region
Вести республики (Грозный);30.11.2004;еженедельно;region
Вести. Пятница (Киров);;еженедельно;region
Вестник (Лесной. Ленинградская область);;периодически;region
Вестник (Советск);06.01.2004;3 в неделю;region
Вестник (Сургут);05.11.2004;еженедельно;region
Вестник (Сургут) (PDF-версия);;еженедельно;region
Вестник Балтийска (Балтийск);08.01.2004;еженедельно;region
Вестник Фонда имущества Санкт-Петербурга (PDF-версия);;периодически;region
Весть (Калуга);06.01.1999;ежедневно;region
Ветеранская правда (Всеволжск) (PDF-версия);;еженедельно;region
Вечерка TheBest (Томск);;Значение не задано;region
Вечерние Челны;;еженедельно;region
Вечерний Барнаул;;5 в неделю;region
Вечерний Волгоград;09.08.2002;3 в неделю;region
Вечерний Волгодонск;12.01.2005;3 в неделю;region
Вечерний Екатеринбург;25.06.2003;5 в неделю;region
Вечерний Котлас;02.01.2003;еженедельно;region
Вечерний Мурманск;15.08.2002;5 в неделю;region
Вечерний Новосибирск (PDF-версия);;Значение не задано;region
Вечерний Омск - Неделя;09.06.1995;еженедельно;region
Вечерний Оренбург;23.10.1997;еженедельно;region
Вечерний Ростов;19.08.2002;5 в неделю;region
Вечерний Ставрополь;20.08.2002;5 в неделю;region
Вечерний Ставрополь (PDF-версия);19.03.2005;5 в неделю;region
Вечерний Томск;04.09.1999;ежедневно;region
Вечерний Челябинск;23.09.1999;ежедневно;region
Вечерняя Казань;16.09.1991;5 в неделю;region
Вечерняя Казань (PDF-версия);;периодически;region
Вечерняя Москва. Вечерний выпуск;;Значение не задано;region
Вечерняя Москва. Ежедневный деловой утренний выпуск;01.01.1999;ежедневно;region
Вечерняя Москва. Еженедельник;;еженедельно;region
Вечерняя Тюмень;12.01.2005;еженедельно;region
Вечерняя Уфа;11.09.2002;5 в неделю;region
Вечорка (Чита) (PDF-версия);;еженедельно;region
Вилючинская газета (Камчатский край) (PDF-версия);;еженедельно;region
Владивосток;29.11.1996;ежедневно;region
Владимирские ведомости;20.03.1998;3 в неделю;region
Власть труда (Минусинск);;еженедельно;region
Власть труда (Минусинск) (PDF-версия);;периодически;region
Вместе с вами (Партизанское, Красноярский край);;еженедельно;region
Военный вестник Юга России (Ростов-на-Дону);19.08.2002;еженедельно;region
Возрождение Урала (Челябинск);03.11.2004;еженедельно;region
Волга-Бизнес (Самара) (PDF-версия);;периодически;region
Волга-Бизнес (Саратов);01.01.2005;ежемесячно;region
Волгоградская правда;16.06.1999;5 в неделю;region
Волгоградская трибуна;06.09.2002;еженедельно;region
Волжская коммуна (Самара);12.11.1997;ежедневно;region
Волжская магистраль (PDF-версия);;периодически;region
Волжская правда (Волжск) (PDF-версия);;Значение не задано;region
Волна (Архангельск) (PDF-версия);;Значение не задано;region
Волна (Зеленоградск);06.01.2004;2 в неделю;region
Вологодские новости;15.08.2002;еженедельно;region
Волховские огни;23.01.2004;еженедельно;region
Волховъ (Великий Новгород);31.07.2002;еженедельно;region
Волхонка (Ногинск);24.03.2001;3 в неделю;region
Вольная Кубань;16.06.1999;5 в неделю;region
Вопрос - ответ (Коломна) (PDF-версия);;еженедельно;region
Воронежский курьер;07.12.1993;3 в неделю;region
Восточно-Сибирская правда (Иркутск);08.02.1997;ежедневно;region
Восточно-сибирский путь (PDF-версия);;периодически;region
Восточный округ (Москва) (PDF-версия);;еженедельно;region
Восточный экспресс (Ногинск) (PDF-версия);;еженедельно;region
Восход (Вологодская область) (PDF-версия);;периодически;region
Восход (Мещовск. Калужская область);;2 в неделю;region
Воткинские вести (PDF-версия);;2 в неделю;region
Вперед (Батайск);17.08.2002;2 в неделю;region
Вперед (Воронеж) (PDF-версия);;периодически;region
Вперед (Кемерово) (PDF-версия);;периодически;region
Вперед (Кирово-Чепецк) (PDF-версия);;еженедельно;region
Вперед (Кущевская);06.07.2004;еженедельно;region
Вперед (Новый Оскол) (PDF-версия);;2 в неделю;region
Вперёд (Сергиев Посад);24.02.2001;3 в неделю;region
Вперед (Уяр, Красноярский край);;еженедельно;region
Вперёд (Химки);31.03.2001;еженедельно;region
Время (Кингисепп);;еженедельно;region
Время (Нижняя Тура, Свердловская область) (PDF-версия);;2 в неделю;region
Время и деньги (Казань);29.11.1998;ежедневно;region
Время Ямала (Яр-Сале);;еженедельно;region
Встреча (Дубна);04.12.2001;3 в неделю;region
Вся недвижимость Хабаровска (PDF-версия);;периодически;region
Вуокса (Светлогорск);;периодически;region
Выбирай (Серпухов) (PDF-версия);;еженедельно;region
Выборг (Выборг);15.11.2003;4 в неделю;region
Выборгские ведомости (Ленинградская область);07.12.2000;2 в неделю;region
Вятский край (Киров);16.12.2000;ежедневно;region
Вятский наблюдатель;23.05.1997;еженедельно;region
Газета Волга (Астрахань) (PDF-версия);;2 в неделю;region
Газета для профессионалов ПРОФИ (Калининград);25.01.2006;ежемесячно;region
Газета Дона (Ростов-на-Дону);07.07.1999;еженедельно;region
Газета Юга (Нальчик);11.01.2001;еженедельно;region
Гатчина-ИНФО;14.04.2004;еженедельно;region
Голос народа (Курск);14.08.2002;еженедельно;region
Голос Тюхтета (Тюхтет, Красноярский край);;еженедельно;region
Голос Череповца;;Значение не задано;region
Горняк (PDF-версия);;периодически;region
Город N (Ростов-на-Дону);26.11.1992;еженедельно;region
Город и горожане (Железногорск, Красноярский край);;еженедельно;region
Город на Цне (Тамбов);20.12.2000;еженедельно;region
Городская жизнь (PDF-версия);;разово;region
Городские вести. Царицын - Сталинград - Волгоград;02.12.1993;2 в неделю;region
Городские известия (Курск);26.12.1996;3 в неделю;region
Городские новости (Ярославль);;Значение не задано;region
Городское обозрение недвижимости (Санкт-Петербург);15.12.2002;ежемесячно;region
Горянка (Нальчик);18.01.2006;2 в месяц;region
Государственный советник (PDF-версия);;периодически;region
Гражданин (Калининград);06.03.2003;еженедельно;region
Грани (Новочебоксарск);10.01.2005;3 в неделю;region
Губернские ведомости (Южно-Сахалинск);06.01.1999;ежедневно;region
Губернское деловое обозрение (Кострома) (PDF-версия);;еженедельно;region
Гумс (Гудермес);16.04.2005;еженедельно;region
Дагестанская жизнь (Махачкала);23.02.2006;еженедельно;region
Дагестанская правда (Махачкала);18.06.1997;5 в неделю;region
Дальневосточная магистраль (PDF-версия);;периодически;region
Дальневосточный энергопотребитель (Хабаровск);;раз в 2 месяца;region
Дважды два (Апатиты);;Значение не задано;region
Двинская правда (Котлас);07.01.2003;5 в неделю;region
Дворникъ (Калининград);04.03.2003;еженедельно;region
Дегунинские вести (Москва) (vdeg.sao.mos.ru);;периодически;region
Действие (Республика Башкортостан) (PDF-версия);;периодически;region
Дело (Иркутск);17.09.1999;2 в месяц;region
Дело (Иркутск) (PDF-версия);;ежемесячно;region
Дело (Самара);03.02.1997;еженедельно;region
Деловая газета Ленинградской области (PDF-версия);;периодически;region
Деловое обозрение (Ульяновск);22.01.2005;ежемесячно;region
Деловой INтерес (Пермь);;периодически;region
Деловой Волгоград;;периодически;region
Деловой Кузбасс - новый век (Кемерово);;Значение не задано;region
Деловой Петербург;05.06.2000;ежедневно;region
Деловой Петербург (PDF-версия);;5 в неделю;region
Деловой проспект (Тобольск) (PDF-версия);;периодически;region
Деловой Сосновый Бор (Ленинградская область) (PDF-версия);;2 в месяц;region
День за днём в Путятино (Путятино, Рязанская область) (PDF-версия);;еженедельно;region
День республики (Карачаево-Черкессия);15.08.2002;3 в неделю;region
Десница (Брянск);04.08.1999;еженедельно;region
Дзержинец (Дзержинское, Красноярский край);;еженедельно;region
Дзержинские ведомости (d-ved.ru);;еженедельно;region
Дивья (Тихвин);20.06.2001;еженедельно;region
Дивья (Тихвин) (PDF-версия);;периодически;region
Донские огни (Константиновск, Ростовская область);;еженедельно;region
Донской вестник (Иловля, Волгоградская область) (PDF-версия);;3 в неделю;region
Дорогое удовольствие (Саратов);;периодически;region
Досье 02 (Пермь);04.01.2003;еженедельно;region
Друг для друга (Курск);;Значение не задано;region
Дыхание земли (Ульяновск);;еженедельно;region
Единство (Набережные челны) (PDF-версия);;еженедельно;region
Ежедневные новости. Подмосковье;03.10.2003;5 в неделю;region
Емельяновские веси (Емельяново, Красноярский край);;еженедельно;region
Енисейская правда (Енисейск, Красноярский край);;еженедельно;region
Ермишинский вестник (Ермишь, Рязанская область) (PDF-версия);;еженедельно;region
Железнодорожник Поволжья (PDF-версия);;периодически;region
